# x, y, theta, v_l, v_r
8.72, 12.16, -1.881, 1.96, -99.61
8.71, 12.14, -1.881, 1.96, 1.96
8.70, 12.12, -1.881, 1.96, 1.96
8.70, 12.10, -1.881, 1.96, 1.96
8.69, 12.08, -1.881, 1.96, 1.96
8.69, 12.06, -1.881, 1.96, 1.96
8.68, 12.05, -1.881, 1.96, 1.96
8.67, 12.03, -1.881, 1.96, 1.96
8.67, 12.01, -1.881, 1.96, 1.96
8.66, 11.99, -1.881, 1.96, 1.96
8.66, 11.97, -1.881, 1.96, 1.96
8.65, 11.95, -1.881, 1.96, 1.96
8.64, 11.93, -1.881, 1.96, 1.96
8.64, 11.92, -1.881, 1.96, 1.96
8.63, 11.90, -1.881, 1.96, 1.96
8.63, 11.88, -1.881, 1.96, 1.96
8.62, 11.86, -1.881, 1.96, 1.96
8.61, 11.84, -1.881, 1.96, 1.96
8.61, 11.82, -1.881, 1.96, 1.96
8.60, 11.80, -1.881, 1.96, 1.96
8.60, 11.78, -1.881, 1.96, 1.96
8.59, 11.77, -1.881, 1.96, 1.96
8.58, 11.75, -1.881, 1.96, 1.96
8.58, 11.73, -1.881, 1.96, 1.96
8.57, 11.71, -1.881, 1.96, 1.96
8.57, 11.69, -1.881, 1.96, 1.96
8.56, 11.67, -1.881, 1.96, 1.96
8.55, 11.65, -1.881, 1.96, 1.96
8.55, 11.64, -1.881, 1.96, 1.96
8.54, 11.62, -1.881, 1.96, 1.96
8.54, 11.60, -1.881, 1.96, 1.96
8.53, 11.58, -1.881, 1.96, 1.96
8.52, 11.56, -1.881, 1.96, 1.96
8.52, 11.54, -1.881, 1.96, 1.96
8.51, 11.52, -1.881, 1.96, 1.96
8.51, 11.51, -1.881, 1.96, 1.96
8.50, 11.49, -1.881, 1.96, 1.96
8.50, 11.47, -1.881, 1.96, 1.96
8.49, 11.45, -1.881, 1.96, 1.96
8.48, 11.43, -1.881, 1.96, 1.96
8.48, 11.41, -1.881, 1.96, 1.96
8.47, 11.39, -1.881, 1.96, 1.96
8.47, 11.38, -1.881, 1.96, 1.96
8.46, 11.36, -1.881, 1.96, 1.96
8.45, 11.34, -1.881, 1.96, 1.96
8.45, 11.32, -1.881, 1.96, 1.96
8.44, 11.31, -1.895, 1.96, 0.49
8.44, 11.30, -1.910, 1.96, 0.49
8.44, 11.28, -1.925, 1.96, 0.49
8.43, 11.27, -1.939, 1.96, 0.49
8.43, 11.26, -1.954, 1.96, 0.49
8.42, 11.25, -1.969, 1.96, 0.49
8.42, 11.24, -1.983, 1.96, 0.49
8.41, 11.23, -1.998, 1.96, 0.49
8.41, 11.22, -2.013, 1.96, 0.49
8.40, 11.21, -2.027, 1.96, 0.49
8.40, 11.20, -2.042, 1.96, 0.49
8.39, 11.19, -2.056, 1.96, 0.49
8.39, 11.17, -2.071, 1.96, 0.49
8.38, 11.16, -2.086, 1.96, 0.49
8.37, 11.15, -2.100, 1.96, 0.49
8.37, 11.14, -2.115, 1.96, 0.49
8.36, 11.13, -2.130, 1.96, 0.49
8.35, 11.12, -2.144, 1.96, 0.49
8.35, 11.11, -2.159, 1.96, 0.49
8.34, 11.10, -2.174, 1.96, 0.49
8.33, 11.09, -2.188, 1.96, 0.49
8.33, 11.08, -2.203, 1.96, 0.49
8.32, 11.07, -2.218, 1.96, 0.49
8.31, 11.06, -2.232, 1.96, 0.49
8.30, 11.05, -2.247, 1.96, 0.49
8.30, 11.04, -2.262, 1.96, 0.49
8.29, 11.04, -2.276, 1.96, 0.49
8.28, 11.03, -2.291, 1.96, 0.49
8.27, 11.02, -2.306, 1.96, 0.49
8.26, 11.01, -2.320, 1.96, 0.49
8.26, 11.00, -2.335, 1.96, 0.49
8.25, 10.99, -2.350, 1.96, 0.49
8.24, 10.98, -2.364, 1.96, 0.49
8.23, 10.97, -2.379, 1.96, 0.49
8.22, 10.97, -2.394, 1.96, 0.49
8.21, 10.96, -2.408, 1.96, 0.49
8.20, 10.95, -2.423, 1.96, 0.49
8.19, 10.94, -2.438, 1.96, 0.49
8.18, 10.93, -2.452, 1.96, 0.49
8.17, 10.93, -2.467, 1.96, 0.49
8.16, 10.92, -2.482, 1.96, 0.49
8.15, 10.91, -2.496, 1.96, 0.49
8.15, 10.90, -2.511, 1.96, 0.49
8.14, 10.90, -2.526, 1.96, 0.49
8.13, 10.89, -2.540, 1.96, 0.49
8.12, 10.88, -2.555, 1.96, 0.49
8.10, 10.88, -2.570, 1.96, 0.49
8.09, 10.87, -2.584, 1.96, 0.49
8.08, 10.87, -2.599, 1.96, 0.49
8.07, 10.86, -2.614, 1.96, 0.49
8.06, 10.85, -2.628, 1.96, 0.49
8.05, 10.85, -2.643, 1.96, 0.49
8.04, 10.84, -2.658, 1.96, 0.49
8.03, 10.84, -2.672, 1.96, 0.49
8.02, 10.83, -2.687, 1.96, 0.49
8.01, 10.83, -2.702, 1.96, 0.49
8.00, 10.82, -2.716, 1.96, 0.49
7.99, 10.82, -2.731, 1.96, 0.49
7.98, 10.81, -2.746, 1.96, 0.49
7.96, 10.81, -2.760, 1.96, 0.49
7.95, 10.80, -2.775, 1.96, 0.49
7.94, 10.80, -2.790, 1.96, 0.49
7.93, 10.79, -2.804, 1.96, 0.49
7.92, 10.79, -2.819, 1.96, 0.49
7.91, 10.79, -2.834, 1.96, 0.49
7.89, 10.78, -2.848, 1.96, 0.49
7.88, 10.78, -2.863, 1.96, 0.49
7.87, 10.78, -2.878, 1.96, 0.49
7.86, 10.77, -2.892, 1.96, 0.49
7.85, 10.77, -2.907, 1.96, 0.49
7.84, 10.77, -2.922, 1.96, 0.49
7.82, 10.77, -2.936, 1.96, 0.49
7.81, 10.76, -2.951, 1.96, 0.49
7.80, 10.76, -2.966, 1.96, 0.49
7.79, 10.76, -2.980, 1.96, 0.49
7.78, 10.76, -2.995, 1.96, 0.49
7.76, 10.76, -3.010, 1.96, 0.49
7.75, 10.76, -3.024, 1.96, 0.49
7.74, 10.75, -3.039, 1.96, 0.49
7.73, 10.75, -3.054, 1.96, 0.49
7.71, 10.75, -3.068, 1.96, 0.49
7.70, 10.75, -3.083, 1.96, 0.49
7.69, 10.75, -3.098, 1.96, 0.49
7.68, 10.75, -3.112, 1.96, 0.49
7.67, 10.75, -3.127, 1.96, 0.49
7.65, 10.75, -3.142, 1.96, 0.49
7.64, 10.75, 3.127, 1.96, 0.49
7.63, 10.75, 3.112, 1.96, 0.49
7.62, 10.75, 3.098, 1.96, 0.49
7.61, 10.75, 3.083, 1.96, 0.49
7.59, 10.75, 3.068, 1.96, 0.49
7.58, 10.76, 3.054, 1.96, 0.49
7.57, 10.76, 3.039, 1.96, 0.49
7.56, 10.76, 3.024, 1.96, 0.49
7.54, 10.76, 3.010, 1.96, 0.49
7.53, 10.76, 2.995, 1.96, 0.49
7.52, 10.76, 2.980, 1.96, 0.49
7.51, 10.77, 2.966, 1.96, 0.49
7.50, 10.77, 2.951, 1.96, 0.49
7.48, 10.77, 2.936, 1.96, 0.49
7.47, 10.77, 2.922, 1.96, 0.49
7.46, 10.78, 2.907, 1.96, 0.49
7.45, 10.78, 2.892, 1.96, 0.49
7.44, 10.78, 2.878, 1.96, 0.49
7.42, 10.79, 2.863, 1.96, 0.49
7.41, 10.79, 2.848, 1.96, 0.49
7.40, 10.79, 2.834, 1.96, 0.49
7.39, 10.80, 2.819, 1.96, 0.49
7.38, 10.80, 2.804, 1.96, 0.49
7.37, 10.81, 2.790, 1.96, 0.49
7.36, 10.81, 2.775, 1.96, 0.49
7.34, 10.82, 2.760, 1.96, 0.49
7.33, 10.82, 2.746, 1.96, 0.49
7.32, 10.83, 2.731, 1.96, 0.49
7.31, 10.83, 2.716, 1.96, 0.49
7.30, 10.84, 2.702, 1.96, 0.49
7.29, 10.84, 2.687, 1.96, 0.49
7.28, 10.85, 2.672, 1.96, 0.49
7.27, 10.85, 2.658, 1.96, 0.49
7.26, 10.86, 2.643, 1.96, 0.49
7.24, 10.86, 2.628, 1.96, 0.49
7.23, 10.87, 2.614, 1.96, 0.49
7.22, 10.88, 2.599, 1.96, 0.49
7.21, 10.88, 2.584, 1.96, 0.49
7.20, 10.89, 2.570, 1.96, 0.49
7.19, 10.90, 2.555, 1.96, 0.49
7.18, 10.90, 2.540, 1.96, 0.49
7.17, 10.91, 2.526, 1.96, 0.49
7.16, 10.92, 2.511, 1.96, 0.49
7.15, 10.93, 2.496, 1.96, 0.49
7.14, 10.93, 2.482, 1.96, 0.49
7.13, 10.94, 2.467, 1.96, 0.49
7.12, 10.95, 2.453, 1.96, 0.49
7.11, 10.96, 2.438, 1.96, 0.49
7.11, 10.97, 2.423, 1.96, 0.49
7.10, 10.97, 2.409, 1.96, 0.49
7.09, 10.98, 2.394, 1.96, 0.49
7.08, 10.99, 2.379, 1.96, 0.49
7.07, 11.00, 2.365, 1.96, 0.49
7.06, 11.01, 2.350, 1.96, 0.49
7.05, 11.02, 2.335, 1.96, 0.49
7.04, 11.03, 2.321, 1.96, 0.49
7.04, 11.04, 2.306, 1.96, 0.49
7.03, 11.04, 2.291, 1.96, 0.49
7.02, 11.05, 2.277, 1.96, 0.49
7.01, 11.06, 2.262, 1.96, 0.49
7.00, 11.07, 2.247, 1.96, 0.49
7.00, 11.08, 2.233, 1.96, 0.49
6.99, 11.09, 2.218, 1.96, 0.49
6.98, 11.10, 2.203, 1.96, 0.49
6.97, 11.11, 2.189, 1.96, 0.49
6.97, 11.12, 2.174, 1.96, 0.49
6.96, 11.13, 2.159, 1.96, 0.49
6.95, 11.14, 2.145, 1.96, 0.49
6.95, 11.15, 2.130, 1.96, 0.49
6.94, 11.16, 2.115, 1.96, 0.49
6.93, 11.17, 2.101, 1.96, 0.49
6.93, 11.19, 2.086, 1.96, 0.49
6.92, 11.20, 2.071, 1.96, 0.49
6.92, 11.21, 2.057, 1.96, 0.49
6.91, 11.22, 2.042, 1.96, 0.49
6.91, 11.23, 2.027, 1.96, 0.49
6.90, 11.24, 2.013, 1.96, 0.49
6.90, 11.25, 1.998, 1.96, 0.49
6.89, 11.26, 1.983, 1.96, 0.49
6.89, 11.27, 1.969, 1.96, 0.49
6.88, 11.28, 1.954, 1.96, 0.49
6.88, 11.30, 1.939, 1.96, 0.49
6.87, 11.31, 1.925, 1.96, 0.49
6.87, 11.32, 1.910, 1.96, 0.49
6.86, 11.33, 1.895, 1.96, 0.49
6.86, 11.34, 1.881, 1.96, 0.49
6.86, 11.35, 1.866, 1.96, 0.49
6.85, 11.37, 1.851, 1.96, 0.49
6.85, 11.38, 1.837, 1.96, 0.49
6.85, 11.39, 1.822, 1.96, 0.49
6.84, 11.40, 1.807, 1.96, 0.49
6.84, 11.41, 1.793, 1.96, 0.49
6.84, 11.43, 1.778, 1.96, 0.49
6.84, 11.44, 1.763, 1.96, 0.49
6.83, 11.45, 1.749, 1.96, 0.49
6.83, 11.46, 1.734, 1.96, 0.49
6.83, 11.47, 1.719, 1.96, 0.49
6.83, 11.49, 1.705, 1.96, 0.49
6.83, 11.50, 1.690, 1.96, 0.49
6.83, 11.51, 1.675, 1.96, 0.49
6.82, 11.52, 1.661, 1.96, 0.49
6.82, 11.53, 1.646, 1.96, 0.49
6.82, 11.55, 1.631, 1.96, 0.49
6.82, 11.56, 1.617, 1.96, 0.49
6.82, 11.57, 1.602, 1.96, 0.49
6.82, 11.58, 1.587, 1.96, 0.49
6.82, 11.60, 1.573, 1.96, 0.49
6.82, 11.61, 1.558, 1.96, 0.49
6.82, 11.62, 1.543, 1.96, 0.49
6.82, 11.63, 1.529, 1.96, 0.49
6.82, 11.64, 1.514, 1.96, 0.49
6.82, 11.66, 1.499, 1.96, 0.49
6.82, 11.67, 1.485, 1.96, 0.49
6.82, 11.68, 1.470, 1.96, 0.49
6.83, 11.69, 1.455, 1.96, 0.49
6.83, 11.71, 1.441, 1.96, 0.49
6.83, 11.72, 1.426, 1.96, 0.49
6.83, 11.73, 1.411, 1.96, 0.49
6.83, 11.74, 1.397, 1.96, 0.49
6.84, 11.75, 1.382, 1.96, 0.49
6.84, 11.77, 1.367, 1.96, 0.49
6.84, 11.78, 1.353, 1.96, 0.49
6.84, 11.79, 1.338, 1.96, 0.49
6.85, 11.80, 1.323, 1.96, 0.49
6.85, 11.81, 1.309, 1.96, 0.49
6.85, 11.82, 1.294, 1.96, 0.49
6.86, 11.84, 1.279, 1.96, 0.49
6.86, 11.85, 1.265, 1.96, 0.49
6.86, 11.86, 1.250, 1.96, 0.49
6.87, 11.87, 1.235, 1.96, 0.49
6.87, 11.88, 1.221, 1.96, 0.49
6.88, 11.89, 1.206, 1.96, 0.49
6.88, 11.90, 1.192, 1.96, 0.49
6.88, 11.92, 1.177, 1.96, 0.49
6.89, 11.93, 1.162, 1.96, 0.49
6.89, 11.94, 1.148, 1.96, 0.49
6.90, 11.95, 1.133, 1.96, 0.49
6.90, 11.96, 1.118, 1.96, 0.49
6.91, 11.97, 1.104, 1.96, 0.49
6.92, 11.99, 1.113, 1.96, 2.93
6.93, 12.02, 1.123, 1.96, 2.93
6.94, 12.04, 1.133, 1.96, 2.93
6.95, 12.06, 1.143, 1.96, 2.93
6.96, 12.08, 1.152, 1.96, 2.93
6.97, 12.10, 1.162, 1.96, 2.93
6.98, 12.13, 1.172, 1.96, 2.93
6.99, 12.15, 1.182, 1.96, 2.93
7.00, 12.17, 1.192, 1.96, 2.93
7.01, 12.20, 1.201, 1.96, 2.93
7.02, 12.22, 1.211, 1.96, 2.93
7.03, 12.24, 1.221, 1.96, 2.93
7.03, 12.26, 1.231, 1.96, 2.93
7.04, 12.29, 1.240, 1.96, 2.93
7.05, 12.31, 1.250, 1.96, 2.93
7.06, 12.34, 1.250, 2.93, 2.93
7.07, 12.37, 1.250, 2.93, 2.93
7.08, 12.39, 1.250, 2.93, 2.93
7.09, 12.42, 1.250, 2.93, 2.93
7.10, 12.45, 1.250, 2.93, 2.93
7.11, 12.48, 1.250, 2.93, 2.93
7.12, 12.51, 1.250, 2.93, 2.93
7.12, 12.53, 1.250, 2.93, 2.93
7.13, 12.56, 1.250, 2.93, 2.93
7.14, 12.59, 1.250, 2.93, 2.93
7.15, 12.62, 1.250, 2.93, 2.93
7.16, 12.64, 1.250, 2.93, 2.93
7.17, 12.67, 1.250, 2.93, 2.93
7.18, 12.70, 1.250, 2.93, 2.93
7.19, 12.73, 1.250, 2.93, 2.93
